,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
Vermont-Slauson,0.324,0.482,1416.0,88.715,"(80, 90]",46.963,"(0, 10]",29.379,1.54,0.316,2.165
Willowbrook,0.115,0.564,3333.0,43.794,"(80, 90]",28.893,"(90, 100]",25.803,1.138,0.005,2.649
Palos Verdes Estates,0.061,0.661,7891.0,0.494,"(80, 90]",7.49,"(70, 80]",7.325,0.136,-0.097,1.643
Van Nuys,0.24,0.511,7526.0,68.059,"(80, 90]",39.995,"(0, 10]",24.595,1.413,0.203,2.565
Sawtelle,-0.188,0.671,5057.0,55.161,"(140, 150]",39.114,"(50, 60]",24.481,1.113,0.247,1.236
Rancho Dominguez,0.167,0.655,1464.0,22.642,"(80, 90]",25.41,"(0, 10]",13.934,0.881,-0.319,2.087
Compton,0.033,0.512,6939.0,62.002,"(80, 90]",46.822,"(90, 100]",11.803,1.016,-0.15,3.135
Arlington Heights,0.344,0.552,1023.0,37.626,"(20, 30]",26.491,"(80, 90]",25.122,1.136,-0.137,1.644
Harvard Heights,0.317,0.466,808.0,81.25,"(80, 90]",48.515,"(0, 10]",23.02,1.389,0.303,2.302
Lomita,0.288,0.57,2155.0,39.695,"(0, 10]",28.213,"(90, 100]",25.615,1.102,-0.016,1.795
Encino,0.18,0.641,10272.0,6.836,"(0, 10]",14.681,"(90, 100]",13.59,0.454,-0.194,1.813
West Carson,0.242,0.614,1992.0,32.828,"(0, 10]",26.355,"(90, 100]",20.582,0.995,-0.117,1.919
Carthay,0.229,0.618,795.0,16.718,"(90, 100]",19.874,"(20, 30]",14.969,0.796,-0.074,1.577
Harbor Gateway,0.206,0.541,4038.0,38.004,"(80, 90]",32.343,"(0, 10]",18.846,1.019,-0.024,2.451
Jefferson Park,0.288,0.492,1055.0,62.419,"(80, 90]",37.82,"(0, 10]",23.981,1.359,0.338,2.109
West Adams,0.411,0.572,1969.0,25.407,"(10, 20]",21.635,"(80, 90]",18.233,1.015,-0.386,1.768
Brentwood,-0.053,0.747,9945.0,2.889,"(160, 170]",10.397,"(150, 160]",9.331,0.349,0.139,1.371
Rancho Palos Verdes,0.0,0.678,14628.0,0.523,"(90, 100]",7.356,"(80, 90]",7.342,0.149,0.063,1.59
Beverly Crest,0.037,0.733,9156.0,1.287,"(0, 10]",9.524,"(160, 170]",9.262,0.195,-0.027,1.425
Rancho Park,-0.253,0.654,1018.0,39.803,"(140, 150]",36.444,"(50, 60]",14.637,0.938,0.376,1.468
Palms,-0.135,0.696,3720.0,54.737,"(140, 150]",39.301,"(50, 60]",24.812,1.068,0.237,1.339
El Segundo,0.206,0.509,2668.0,61.404,"(80, 90]",41.004,"(0, 10]",20.577,1.285,0.161,2.717
Venice,-0.078,0.672,4574.0,31.733,"(140, 150]",27.613,"(50, 60]",24.289,0.852,0.125,1.34
Tarzana,0.197,0.633,7880.0,8.255,"(80, 90]",13.845,"(0, 10]",13.693,0.536,-0.187,1.826
Woodland Hills,0.121,0.646,20106.0,4.536,"(80, 90]",13.295,"(0, 10]",11.041,0.356,-0.182,1.84
Carson,0.131,0.569,11930.0,33.419,"(80, 90]",32.59,"(90, 100]",16.329,0.902,-0.026,2.423
Harbor City,0.2,0.62,2469.0,26.985,"(90, 100]",23.046,"(0, 10]",22.762,0.895,-0.13,1.973
Beverly Grove,0.174,0.55,1451.0,49.163,"(90, 100]",28.601,"(80, 90]",27.154,1.239,0.077,2.513
Signal Hill,0.222,0.575,2394.0,43.376,"(80, 90]",27.82,"(0, 10]",26.316,1.16,0.011,2.118
North Hollywood,0.118,0.57,5174.0,53.697,"(80, 90]",37.727,"(0, 10]",19.347,1.243,0.038,2.529
Diamond Bar,0.136,0.684,13632.0,0.493,"(20, 30]",7.504,"(40, 50]",7.38,0.125,-0.275,1.589
Toluca Lake,-0.037,0.561,1051.0,41.325,"(80, 90]",29.02,"(90, 100]",25.595,1.157,0.123,2.693
Downey,0.121,0.678,12725.0,32.244,"(120, 130]",27.497,"(30, 40]",24.754,0.894,-0.011,1.244
Beverly Hills,0.029,0.693,9290.0,3.821,"(0, 10]",10.657,"(140, 150]",9.978,0.4,-0.02,1.549
Rolling Hills Estates,0.063,0.664,3628.0,0.337,"(100, 110]",7.277,"(80, 90]",6.836,0.117,-0.056,1.598
University Park,0.28,0.626,1611.0,47.977,"(110, 120]",31.037,"(20, 30]",28.367,1.209,-0.061,1.222
Northridge,0.249,0.552,10277.0,41.054,"(90, 100]",24.822,"(80, 90]",24.599,1.14,0.013,2.235
West Hills,0.15,0.634,11260.0,10.758,"(80, 90]",17.735,"(0, 10]",13.801,0.548,-0.177,1.968
Hermosa Beach,-0.236,0.67,3242.0,31.113,"(160, 170]",27.02,"(70, 80]",22.825,0.956,0.191,1.545
Industry,0.12,0.631,7147.0,3.931,"(120, 130]",10.55,"(90, 100]",10.032,0.405,-0.032,1.583
Fairfax,0.27,0.485,697.0,66.173,"(80, 90]",31.564,"(0, 10]",27.977,1.524,0.676,1.815
South Gate,0.359,0.656,6753.0,62.471,"(0, 10]",38.827,"(90, 100]",30.194,1.168,-0.429,1.858
