,count_of_nodes_in_graph,count_of_edges_in_graph,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
Lopez/Kagel Canyons,1012,1968,3.889,43748.308,22.23,2.043,970,23368.37,1014,23.046,1.0,0.0
El Sereno,3863,7675,3.974,237942.546,31.002,2.135,3754,126061.899,4075,30.935,1.0,0.0
Topanga,7585,14887,3.925,253562.301,17.032,2.011,7401,130254.049,7613,17.109,1.0,0.0
Playa del Rey,1295,2385,3.683,76775.423,32.191,2.155,1275,43884.734,1372,31.986,1.0,0.0
Del Aire,527,852,3.233,64355.532,75.535,2.391,520,38638.372,582,66.389,1.0,0.0
Charter Oak,478,861,3.603,53034.193,61.596,2.161,391,28280.009,476,59.412,1.0,0.0
Burbank,8276,16511,3.99,783798.819,47.471,2.233,8118,420004.413,9194,45.682,1.0,0.0
Pacoima,2992,5978,3.996,358942.665,60.044,2.249,2845,196591.106,3318,59.25,1.0,0.0
Vermont Vista,1288,2210,3.432,125146.17,56.627,2.263,1274,77459.772,1413,54.819,1.0,0.0
Broadway-Manchester,1387,2384,3.438,126303.367,52.98,2.324,1378,76225.491,1569,48.582,1.0,0.0
Century City,787,1352,3.436,39354.087,29.108,2.201,778,23529.398,851,27.649,1.0,0.0
Manchester Square,341,835,4.897,71813.314,86.004,2.771,341,36136.975,442,81.758,1.0,0.0
Unincorporated Santa Susana Mountains,5699,8950,3.141,255961.218,28.599,2.065,5616,176873.812,5781,30.596,1.0,0.0
Montebello,4637,9089,3.92,397308.578,43.713,2.217,4498,215565.88,5074,42.484,1.0,0.0
View Park-Windsor Hills,1436,2901,4.04,114844.509,39.588,2.208,1422,59299.841,1548,38.307,1.0,0.0
Bell Gardens,1636,3131,3.828,122931.828,39.263,2.208,1610,69626.975,1788,38.941,1.0,0.0
Vermont-Slauson,874,1813,4.149,109198.678,60.231,2.438,868,59901.638,1039,57.653,1.0,0.0
Willowbrook,1947,3830,3.934,213449.386,55.731,2.263,1870,115117.764,2139,53.818,1.0,0.0
Palos Verdes Estates,4234,8367,3.952,226447.434,27.064,2.11,4161,121852.749,4450,27.383,1.0,0.0
Van Nuys,5086,10247,4.029,447134.378,43.636,2.188,4943,236794.035,5515,42.936,1.0,0.0
Sawtelle,2614,5105,3.906,199052.899,38.992,2.231,2574,110949.856,2868,38.685,1.0,0.0
Rancho Dominguez,935,1671,3.574,54826.708,32.811,2.079,921,33686.09,949,35.496,1.0,0.0
